contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho,as_of,strike_diff
AMZN250502C00185000,AMZN,2025-05-02,185.0,call,5.90,5.97,5.70,11,6.25,1,5516,7958,2025-04-30,1.15144,0.50341,0.02538,-1.57795,0.05446,0.00476,2025-04-30,0.0
AMZN250502P00185000,AMZN,2025-05-02,185.0,put,6.35,6.55,6.40,6,6.70,6,1825,7824,2025-04-30,1.15144,-0.49659,0.02538,-1.55601,0.05446,-0.00538,2025-04-30,0.0
AMZN250207C00235000,AMZN,2025-02-07,235.0,call,8.66,8.60,8.55,6,8.65,18,9007,13556,2025-02-05,1.15144,0.54128,0.01971,-2.01101,0.06937,0.00653,2025-02-05,0.0
AMZN250207P00235000,AMZN,2025-02-07,235.0,put,7.30,7.33,7.25,26,7.40,39,5232,4534,2025-02-05,1.13192,-0.45859,0.02005,-1.94925,0.06937,-0.00633,2025-02-05,0.0
AMZN241101C00192500,AMZN,2024-11-01,192.5,call,6.47,6.58,6.50,145,6.65,51,4964,6636,2024-10-30,1.13192,0.52365,0.02466,-1.62025,0.05682,0.00517,2024-10-30,0.0
AMZN241101P00192500,AMZN,2024-11-01,192.5,put,6.17,6.15,6.10,288,6.20,11,3433,1824,2024-10-30,1.11241,-0.47652,0.02509,-1.56711,0.05682,-0.00537,2024-10-30,0.0
AMZN240802C00187500,AMZN,2024-08-02,187.5,call,6.29,6.35,6.25,82,6.45,57,4606,4958,2024-07-31,1.19046,0.50633,0.02421,-1.65603,0.05521,0.00484,2024-07-31,0.0
AMZN240802P00187500,AMZN,2024-08-02,187.5,put,6.57,6.72,6.65,77,6.80,48,1724,1791,2024-07-31,1.17095,-0.49415,0.02461,-1.60176,0.05521,-0.00543,2024-07-31,0.0
AMZN240503C00180000,AMZN,2024-05-03,180.0,call,7.87,7.85,7.80,416,7.90,52,15664,19104,2024-04-29,0.97583,0.54335,0.02145,-0.92961,0.07513,0.00991,2024-04-29,0.0
AMZN240503P00180000,AMZN,2024-05-03,180.0,put,6.76,6.72,6.65,268,6.80,117,7302,4891,2024-04-29,0.95632,-0.45659,0.02189,-0.88502,0.07513,-0.00979,2024-04-29,0.0
AMZN240202C00155000,AMZN,2024-02-02,155.0,call,5.35,5.40,5.35,5,5.45,80,5086,8919,2024-01-31,1.15144,0.52439,0.03010,-1.32795,0.04575,0.00416,2024-01-31,0.0
AMZN240202P00155000,AMZN,2024-02-02,155.0,put,5.05,5.10,5.05,80,5.15,32,8569,13438,2024-01-31,1.13192,-0.47577,0.03062,-1.28305,0.04575,-0.00432,2024-01-31,0.0
AMZN231027C00121000,AMZN,2023-10-27,121.0,call,5.16,5.15,5.10,1,5.20,28,1931,247,2023-10-25,1.38558,0.53407,0.03193,-1.24592,0.03572,0.00327,2023-10-25,0.0
AMZN231027P00121000,AMZN,2023-10-27,121.0,put,4.69,4.68,4.65,2,4.70,113,2390,1766,2023-10-25,1.36606,-0.46602,0.03238,-1.21087,0.03572,-0.00336,2023-10-25,0.0
AMZN230804C00128000,AMZN,2023-08-04,128.0,call,4.65,4.65,4.60,153,4.70,21,6605,2894,2023-08-02,1.19046,0.52630,0.03523,-1.13355,0.03778,0.00344,2023-08-02,0.0
AMZN230804P00128000,AMZN,2023-08-04,128.0,put,4.30,4.35,4.30,40,4.40,330,6535,8978,2023-08-02,1.19046,-0.47370,0.03523,-1.11486,0.03778,-0.00357,2023-08-02,0.0
AMZN230428C00105000,AMZN,2023-04-28,105.0,call,3.67,3.70,3.65,10,3.75,136,9082,25530,2023-04-26,1.19046,0.51791,0.04308,-0.92843,0.03097,0.00278,2023-04-26,0.0
AMZN230428P00105000,AMZN,2023-04-28,105.0,put,3.70,3.67,3.65,3,3.70,5,16933,7066,2023-04-26,1.19046,-0.48209,0.04308,-0.91454,0.03097,-0.00298,2023-04-26,0.0
AMZN230203C00105000,AMZN,2023-02-03,105.0,call,4.08,4.08,4.00,2,4.15,642,19240,16117,2023-02-01,1.28802,0.52597,0.03971,-1.00384,0.03099,0.00281,2023-02-01,0.0
AMZN230203P00105000,AMZN,2023-02-03,105.0,put,3.92,3.88,3.80,1187,3.95,1,1833,1034,2023-02-01,1.28802,-0.47403,0.03971,-0.99139,0.03099,-0.00295,2023-02-01,0.0
AMZN221028C00116000,AMZN,2022-10-28,116.0,call,4.05,4.10,4.05,106,4.15,5,9013,4319,2022-10-26,1.24899,0.50650,0.03730,-1.07096,0.03415,0.00298,2022-10-26,0.0
AMZN221028P00116000,AMZN,2022-10-28,116.0,put,4.40,4.40,4.35,29,4.45,51,8059,2922,2022-10-26,1.24899,-0.49350,0.03730,-1.06117,0.03415,-0.00337,2022-10-26,0.0
AMZN220729C00121000,AMZN,2022-07-29,121.0,call,3.70,3.67,3.65,1,3.70,1,10636,3949,2022-07-27,1.03437,0.51443,0.04304,-0.92571,0.03570,0.00321,2022-07-27,0.0
AMZN220729P00121000,AMZN,2022-07-29,121.0,put,3.65,3.73,3.70,1,3.75,61,4671,3563,2022-07-27,1.03437,-0.48557,0.04304,-0.92048,0.03570,-0.00342,2022-07-27,0.0
AMZN220429C01500000,AMZN,2022-04-29,1500.0,call,0.00,1262.42,1254.00,1,1270.85,1,0,0,2022-04-27,0.01976,1.00000,0.00000,-0.01356,0.00000,0.08219,2022-04-27,1362.0
AMZN220429P01500000,AMZN,2022-04-29,1500.0,put,0.15,0.15,0.14,1,0.15,3,271,20,2022-04-27,2.73188,-0.00090,0.00001,-0.42552,0.00623,-0.00014,2022-04-27,1362.0
AMZN220204C01700000,AMZN,2022-02-04,1700.0,call,1680.90,1310.75,1301.55,1,1319.95,1,0,0,2022-02-02,0.01976,1.00000,0.00000,-0.00373,0.00000,0.09315,2022-02-02,1550.0
AMZN220204P01700000,AMZN,2022-02-04,1700.0,put,0.01,0.01,0.00,0,0.01,473,22,476,2022-02-02,2.10751,-0.00009,0.00000,-0.04221,0.00080,-0.00002,2022-02-02,1550.0
AMZN211029C01970000,AMZN,2021-10-29,1970.0,call,0.00,1423.20,1414.60,1,1431.80,1,0,0,2021-10-27,2.79042,0.99688,0.00001,-1.66564,0.02382,0.10733,2021-10-27,1800.0
AMZN211029P01970000,AMZN,2021-10-29,1970.0,put,0.05,0.01,0.00,0,0.04,10,36,202,2021-10-27,1.99044,-0.00008,0.00000,-0.04201,0.00084,-0.00002,2021-10-27,1800.0
AMZN210730C02080000,AMZN,2021-07-30,2080.0,call,1551.80,1552.00,1544.00,1,1560.00,1,2,7,2021-07-28,3.12212,0.99422,0.00002,-3.45414,0.04418,0.11273,2021-07-28,1897.5
AMZN210730P02080000,AMZN,2021-07-30,2080.0,put,0.01,0.01,0.00,0,0.01,86,28,1061,2021-07-28,2.02946,-0.00008,0.00000,-0.04253,0.00084,-0.00002,2021-07-28,1897.5
AMZN210430C01700000,AMZN,2021-04-30,1700.0,call,1779.50,1759.33,1756.20,1,1762.45,1,1,7,2021-04-28,3.62942,0.99726,0.00001,-1.95915,0.02156,0.09259,2021-04-28,1527.5
AMZN210430P01700000,AMZN,2021-04-30,1700.0,put,0.01,0.01,0.00,0,0.01,50,2,182,2021-04-28,2.55628,-0.00006,0.00000,-0.03977,0.00062,-0.00001,2021-04-28,1527.5
AMZN210205C01870000,AMZN,2021-02-05,1870.0,call,1317.42,1476.33,1470.00,1,1482.65,2,0,2,2021-02-01,2.55628,0.98940,0.00003,-3.13847,0.09809,0.20066,2021-02-01,1702.5
AMZN210205P01870000,AMZN,2021-02-05,1870.0,put,0.03,0.03,0.01,55,0.05,9,206,246,2021-02-01,1.60021,-0.00019,0.00000,-0.05095,0.00255,-0.00007,2021-02-01,1702.5
AMZN201030C01690000,AMZN,2020-10-30,1690.0,call,1510.90,1476.25,1470.75,1,1481.75,1,3,9,2020-10-28,3.88308,0.98994,0.00003,-6.09306,0.06272,0.09067,2020-10-28,1532.5
