fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,prev_quarter_EPS,estimatedEPS_change,estimatedEPS_pct_change,as_of,garch_vol,e_garch_vol,call_delta,put_delta,call_gamma,put_gamma,call_vega,put_vega,call_theta,put_theta,call_rho,put_rho,atm_iv,iv_garch_spread,surprise_norm,garch_vol_lag1,atm_iv_lag1,iv_garch_spread_lag1,atm_iv estimatedEPS,garch_vol_roll5_mean,garch_vol_roll5_std,garch_vol_roll10_mean,garch_vol_roll10_std,atm_iv_roll5_mean,atm_iv_roll5_std,atm_iv_roll10_mean,atm_iv_roll10_std,iv_garch_spread_roll5_mean,iv_garch_spread_roll5_std,iv_garch_spread_roll10_mean,iv_garch_spread_roll10_std,strike,call_ask,put_ask,straddle_cost,underlying,underlying_t1,abs_move,return,breakeven_pct,realized_vol,predicted_vol,iv_diff,trade_signal,pnl,pnl_when_signal,return_when_signal
2022-12-31,2023-02-02,1.88,1.95,-0.07,-3.5897,1.29,0.6599999999999999,0.5116279069767441,2023-02-01,0.3006376400076522,0.2702425237347099,0.58728,-0.41272,0.05147,0.05147,0.04192,0.04192,-0.74599,-0.72891,0.00447,-0.00342,0.70267,0.4020323599923477,-0.0358974358974359,0.3544332737842316,0.80022,0.4457867262157684,1.3702065,0.2943620942145429,0.0396440507101761,0.2818663774170716,0.0527035078456783,0.7963220000000001,0.1107203304276079,0.724129,0.1892742605879375,0.5019599057854569,0.1225832750170096,0.4422626225829284,0.1725997796736788,144.0,3.85,2.32,617.0,148.89999389648438,152.52427673339844,852.4276733398438,0.381568352252583,0.0414372078771836,0.3817640771604834,0.4968375587917273,-0.2058324412082727,0,235.42767333984372,0.0,0.0
2023-03-31,2023-05-04,1.52,1.43,0.09,6.2937,1.88,-0.4499999999999999,-0.2393617021276595,2023-05-03,0.2445181623201066,0.2079259136488794,0.62342,-0.37658,0.04359,0.04359,0.04706,0.04706,-0.83993,-0.8181,0.00545,-0.00358,0.70267,0.4581518376798933,0.0629370629370629,0.3006376400076522,0.70267,0.4020323599923477,1.0048181,0.2943900133348507,0.0396000746691656,0.2797193455941729,0.0538471311096401,0.769006,0.1142727339744643,0.700715,0.1738990251234556,0.474615986665149,0.1114167655480985,0.4209956544058271,0.1533357296751349,165.0,4.9,2.32,722.0000000000001,164.88999938964844,171.61203002929688,661.2030029296875,-0.0842063671333969,0.0437867670976124,0.6343089571304495,0.6347429976630178,-0.06792700233698223,0,-60.79699707031257,-0.0,-0.0
2023-06-30,2023-08-03,1.26,1.19,0.07,5.8824,1.52,-0.33,-0.2171052631578947,2023-08-02,0.1310031782847979,0.1480502356653196,0.62931,-0.37069,0.0438,0.0438,0.05386,0.05386,-0.83171,-0.80397,0.00637,-0.00404,0.60511,0.4741068217152021,0.0588235294117647,0.2445181623201066,0.70267,0.4581518376798933,0.7200809,0.2629955570723213,0.0836640836965566,0.2565052234217608,0.0631254709917557,0.698764,0.0695318314155375,0.6733990000000001,0.1640869477814173,0.4357684429276786,0.033832791136653,0.4168937765782392,0.1510697812914472,190.0,5.0,2.25,725.0,191.57000732421875,180.1859436035156,981.4056396484376,0.3536629512392241,0.0378451726408815,0.9725354943036444,0.5139880245642545,-0.09112197543574552,0,256.40563964843744,0.0,0.0
2023-09-30,2023-11-02,1.46,1.39,0.07,5.036,1.26,0.1299999999999999,0.103174603174603,2023-11-01,0.2055957603382365,0.2443994413164258,0.58236,-0.41568,0.04707,0.04848,0.05028,0.05022,-0.82381,-0.77334,0.00533,-0.0041,0.64413,0.4385342396617634,0.0503597122302158,0.1310031782847979,0.60511,0.4741068217152021,0.8953406999999999,0.247237602947005,0.0860150505639165,0.2508011360377612,0.0650574437590214,0.6909599999999999,0.0737822255018018,0.6890080000000001,0.1514313355800408,0.4437223970529948,0.0269288861679474,0.4382068639622388,0.1352594070121138,172.5,4.15,2.56,671.0000000000001,175.52000427246094,175.13502502441406,263.50250244140625,-0.6072988041111681,0.0382292606920406,0.0348568139417285,0.5692743242041065,-0.07485567579589347,0,-407.49749755859386,-0.0,-0.0
2023-12-31,2024-02-01,2.18,2.11,0.07,3.3175,1.46,0.6499999999999999,0.4452054794520547,2024-01-31,0.1764572100858961,0.2314409382193677,0.60838,-0.39996,0.04971,0.04531,0.05243,0.05273,-0.75782,-0.81233,0.00592,-0.00418,0.56608,0.3896227899141039,0.0331753554502369,0.2055957603382365,0.64413,0.4385342396617634,1.1944288,0.2116423902073379,0.0647653688545653,0.240793017953686,0.0682765842869175,0.644132,0.0601419697050134,0.700715,0.1343811987717504,0.4324896097926619,0.0360287667374822,0.459921982046314,0.1009321486575223,182.5,4.8,2.6,740.0,183.9900054931641,184.49888610839844,199.88861083984375,-0.7298802556218328,0.0402195759501455,0.0438451994030491,0.16762014648575074,-0.3984598535142493,-1,-540.1113891601562,540.1113891601562,0.7298802556218328
2024-03-31,2024-05-02,1.53,1.5,0.03,2.0,2.18,-0.6800000000000002,-0.3119266055045872,2024-05-01,0.1958776866055425,6.130470794519604e-17,0.59372,-0.40203,0.04405,0.04651,0.04861,0.04848,-0.86794,-0.79405,0.00526,-0.00386,0.70267,0.5067923133944574,0.02,0.1764572100858961,0.56608,0.3896227899141039,1.054005,0.1906903995269159,0.0415681784443981,0.2425262468707295,0.066723149041474,0.644132,0.0601419697050134,0.7202270000000001,0.1161458291258566,0.4534416004730838,0.043562042709998,0.4777007531292705,0.0904201970996268,167.5,4.5,2.5,700.0,172.50999450683594,182.27914428710935,1477.9144287109375,1.1113063267299108,0.0405773591264163,0.8744329458187862,0.48972890012482584,-0.21294109987517418,0,777.9144287109376,0.0,0.0
2024-06-30,2024-08-01,1.4,1.34,0.06,4.4776,1.53,-0.1899999999999999,-0.1241830065359476,2024-07-31,0.1900193110793843,0.1791011115568637,0.58416,-0.41584,0.03377,0.03377,0.06412,0.06412,-1.14444,-1.11233,0.00679,-0.00526,0.70267,0.5126506889206157,0.044776119402985,0.1958776866055425,0.70267,0.5067923133944574,0.9415778,0.1797906292787714,0.0292431666881942,0.2370903213068111,0.0687393320305938,0.644132,0.0601419697050134,0.706569,0.1083641221325348,0.4643413707212283,0.0511862069389849,0.4694786786931889,0.0819205665643335,220.0,5.9,3.65,955.0,224.3699951171875,218.83656311035156,116.34368896484376,-0.8781741476807919,0.0425636235139733,0.39640692479299,0.5717394920500067,-0.13093050794999328,0,-838.6563110351562,-0.0,-0.0
2024-09-30,2024-10-31,0.97,0.95,0.02,2.1053,1.4,-0.4499999999999999,-0.3214285714285714,2024-10-30,0.1973624516994956,0.1850306383210258,0.51536,-0.48475,0.03634,0.03747,0.0679,0.0679,-1.10852,-1.045,0.00625,-0.00634,0.64413,0.4467675483005043,0.0210526315789473,0.1900193110793843,0.70267,0.5126506889206157,0.6119235,0.193062483961711,0.0108223625757596,0.2280290205170161,0.067242344890005,0.651936,0.0562160953820056,0.6753500000000001,0.0645168830617179,0.4588735160382888,0.0513422320083405,0.4473209794829838,0.0427620563680233,230.0,4.65,4.4,905.0,229.33999633789065,222.1291961669922,787.0803833007812,-0.1302979190046617,0.0394610628085407,0.5071337801954006,0.7746020178705569,0.13047201787055696,0,-117.91961669921884,-0.0,-0.0
2024-12-31,2025-01-30,2.4,2.34,0.06,2.5641,0.97,1.37,1.4123711340206184,2025-01-29,0.3366171669875512,0.2747362506322501,0.49327,-0.50673,0.03035,0.03035,0.07068,0.07068,-1.3239,-1.29543,0.0062,-0.00695,0.74169,0.4050728330124488,0.0256410256410256,0.1973624516994956,0.64413,0.4467675483005043,1.7355545999999995,0.2192667652915739,0.0661173886521745,0.2332521841192894,0.073813813387054,0.671448,0.0684329118187933,0.6812039999999999,0.0678718696761237,0.4521812347084258,0.056570737430957,0.4479518158807105,0.0420059953539959,240.0,5.0,5.55,1055.0,238.6699981689453,235.4320831298828,456.7916870117187,-0.567022097619224,0.0442032935892179,0.2168356097318902,0.4055763632013447,-0.33611363679865525,-1,-598.2083129882812,598.2083129882812,0.567022097619224
2025-03-31,2025-05-01,1.65,1.62,0.03,1.8519,2.4,-0.7799999999999998,-0.3249999999999999,2025-04-30,0.2435889664635723,0.4521900196247876,0.59397,-0.40772,0.03158,0.03084,0.061,0.06107,-1.2049,-1.21095,0.00657,-0.00496,0.78071,0.5371210335364277,0.0185185185185185,0.3366171669875512,0.74169,0.4050728330124488,1.2647502000000002,0.2326931165671092,0.0619346696907387,0.2221677533872235,0.0607633459971828,0.714374,0.0508793069921233,0.679253,0.0642546046858333,0.4816808834328906,0.0542011470576322,0.4570852466127764,0.0505445886825795,210.0,6.4,3.85,1025.0,209.0800018310547,205.08106994628903,491.89300537109375,-0.520104385003811,0.0490242964905004,0.3065621220833078,0.548559939910537,-0.23215006008946304,0,-533.1069946289062,-0.0,-0.0
