fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,prev_quarter_EPS,estimatedEPS_change,estimatedEPS_pct_change,as_of,garch_vol,e_garch_vol,call_delta,put_delta,call_gamma,put_gamma,call_vega,put_vega,call_theta,put_theta,call_rho,put_rho,atm_iv,iv_garch_spread,surprise_norm,garch_vol_lag1,atm_iv_lag1,iv_garch_spread_lag1,atm_iv estimatedEPS,garch_vol_roll5_mean,garch_vol_roll5_std,garch_vol_roll10_mean,garch_vol_roll10_std,atm_iv_roll5_mean,atm_iv_roll5_std,atm_iv_roll10_mean,atm_iv_roll10_std,iv_garch_spread_roll5_mean,iv_garch_spread_roll5_std,iv_garch_spread_roll10_mean,iv_garch_spread_roll10_std,strike,call_ask,put_ask,straddle_cost,underlying,underlying_t1,abs_move,return,breakeven_pct,realized_vol,predicted_vol,iv_diff,trade_signal,pnl,pnl_when_signal,return_when_signal
2022-12-31,2023-01-19,0.12,0.48,-0.36,-75.0,3.1,-2.62,-0.8451612903225807,2023-01-18,0.7253636393755175,2.128423524548845e+153,0.53872,-0.46128,0.00968,0.00968,0.09591,0.09591,-4.08983,-4.05128,0.0087,-0.0091,1.69776,0.9723963606244824,-0.75,0.82199280333587,1.44411,0.62211719666413,0.8149247999999999,0.5856230873421341,0.2452362413879409,0.4678657526886842,0.2096386864338368,1.49484,0.2866304936673691,1.207801111111111,0.4119983728561456,0.909216912657866,0.2024860899660142,0.7290839004324599,0.271695805147481,325.0,17.15,15.7,3284.9999999999995,322.57000732421875,342.5,1750.0,-0.4672754946727548,0.1018383583535777,0.9517000511600698,2.7993958386390934,1.1016358386390934,1,-1534.9999999999993,-1534.9999999999993,-0.4672754946727548
2023-03-31,2023-04-18,2.88,2.87,0.01,0.3484,0.12,2.75,22.916666666666668,2023-04-17,0.6764755683885542,1.754070022121479e-16,0.50005,-0.49995,0.01067,0.01067,0.13895,0.13895,-1.88458,-1.84027,0.01671,-0.01999,1.07339,0.3969144316114459,0.0034843205574912,0.7253636393755175,1.69776,0.9723963606244824,3.0806293000000005,0.6714892747339669,0.1560326519270133,0.4960999790557207,0.2174716521972212,1.4597199999999997,0.3315263819064779,1.2034655555555558,0.4133308274285602,0.7882307252660332,0.2935506685660839,0.6933769822468638,0.2935331728601458,335.0,14.1,16.1,3020.0000000000005,335.0,327.9800109863281,701.9989013671875,-0.7675500326598718,0.0901492537313433,0.3361882228381561,2.210290967982207,1.1369009679822069,1,-2318.001098632813,-2318.001098632813,-0.7675500326598718
2023-06-30,2023-07-19,3.29,2.85,0.44,15.4386,2.88,-0.0299999999999998,-0.0104166666666665,2023-07-18,0.3371822931312067,1.717220863605364,0.52186,-0.47814,0.00765,0.00765,0.17147,0.17147,-3.48944,-3.42336,0.01866,-0.02037,1.20997,0.8727877068687933,0.1543859649122807,0.6764755683885542,1.07339,0.3969144316114459,3.4484145,0.6571520954057922,0.1865129378862593,0.4927979452909433,0.2198335051581721,1.45972,0.3315263819064779,1.2041160000000002,0.3896974695894815,0.8025679045942079,0.2960761831085927,0.7113180547090567,0.2825013620130752,475.0,20.95,20.9,4184.999999999999,476.8599853515625,427.5,4750.0,0.1350059737156513,0.0877616098762119,1.7345856894160994,1.9975175706547441,0.7875475706547441,1,565.0000000000006,565.0000000000006,0.1350059737156513
2023-09-30,2023-10-18,3.73,3.49,0.24,6.8768,3.29,0.2000000000000001,0.060790273556231,2023-10-17,0.3042216822030413,4.0089877482939743e-16,0.53041,-0.46979,0.01053,0.01071,0.12828,0.12829,-2.52883,-2.43542,0.01424,-0.01492,1.17095,0.8667283177969587,0.0687679083094555,0.3371822931312067,1.20997,0.8727877068687933,4.0866155,0.573047197286838,0.2365222250777091,0.484302890091991,0.2258421251135829,1.3192359999999996,0.2516157719221909,1.239237,0.3663327703984154,0.7461888027131621,0.2340476800901541,0.754934109908009,0.2676173051821721,355.0,16.1,14.4,3050.0,351.0,400.9599914550781,4595.9991455078125,0.5068849657402664,0.0868945868945869,2.1125069116339525,1.827523551263566,0.656573551263566,1,1545.9991455078125,1545.9991455078125,0.5068849657402664
2023-12-31,2024-01-23,2.11,2.22,-0.11,-4.955,3.73,-1.5099999999999998,-0.4048257372654155,2024-01-22,0.3308660536024032,8.051207606200185,0.52835,-0.47165,0.00802,0.00802,0.20234,0.20234,-2.50258,-2.4318,0.0259,-0.02722,0.97583,0.6449639463975968,-0.0495495495495495,0.3042216822030413,1.17095,0.8667283177969587,2.1663426,0.4748218473401445,0.2074896060934564,0.4815741814656594,0.2276929301797295,1.2255799999999997,0.2791589690481037,1.258749,0.3436933944488578,0.7507581526598555,0.2312258525425825,0.7771748185343406,0.2452308453931284,485.0,20.35,19.25,3960.0,492.0,570.4199829101562,8541.998291015625,1.157070275508996,0.0804878048780487,2.347747405502351,2.1384140091964285,1.1625840091964286,1,4581.998291015625,4581.998291015625,1.157070275508996
2024-03-31,2024-04-18,5.28,4.52,0.76,16.8142,2.11,2.4099999999999997,1.1421800947867298,2024-04-17,0.3446827995865357,0.6839279868546637,0.51521,-0.48517,0.00592,0.006,0.1811,0.1811,-6.75712,-6.57925,0.01588,-0.0178,1.48313,1.1384472004134645,0.168141592920354,0.3308660536024032,0.97583,0.6449639463975968,6.7037476,0.3986856793823482,0.1560361723965808,0.4921543833622411,0.2173876187269207,1.182654,0.1909736648860261,1.338747,0.282481497685149,0.7839683206176518,0.2781754418418257,0.8465926166377589,0.238687800929865,615.0,26.7,27.45,5415.0,612.0999755859375,555.0399780273438,5996.002197265625,0.1072949579437904,0.0884659404669384,1.5534076558826049,1.6143305046524659,0.1312005046524658,0,581.002197265625,0.0,0.0
2024-06-30,2024-07-18,4.88,4.74,0.14,2.9536,5.28,-0.54,-0.1022727272727272,2024-07-17,0.3071419564961948,0.3863629845397126,0.53665,-0.46343,0.00566,0.00574,0.19039,0.1904,-7.0131,-6.82624,0.01744,-0.01788,1.46362,1.1564780435038051,0.0295358649789029,0.3446827995865357,1.48313,1.1384472004134645,6.9375588,0.3248189570038763,0.0181708267271141,0.4981541158689215,0.2105960437090136,1.2606999999999997,0.2135597946711882,1.36021,0.2830572207954512,0.9358810429961236,0.2139460856870703,0.8620558841310784,0.2543578474861619,645.0,30.1,26.5,5660.0,656.5999755859375,633.3400268554688,1165.997314453125,-0.7939934073404373,0.0862016480422364,0.572554173381148,1.5387355534750666,0.07511555347506671,0,-4494.002685546875,-0.0,-0.0
2024-09-30,2024-10-17,5.4,5.12,0.28,5.4688,4.88,0.2400000000000002,0.0491803278688525,2024-10-16,0.2979240676814662,0.3425500526282635,0.53212,-0.46788,0.00585,0.00585,0.20664,0.20664,-6.80025,-6.70765,0.01893,-0.01942,1.30753,1.0096059323185338,0.0546875,0.3071419564961948,1.46362,1.1564780435038051,6.694553600000001,0.3169673119139282,0.0198931967903729,0.4870597036598602,0.218592842824923,1.280212,0.2122186778302043,1.369966,0.2789551619964126,0.9632446880860716,0.2126043597872342,0.8829062963401398,0.257334510338844,700.0,28.5,26.35,5485.0,704.3499755859375,763.8900146484375,6389.00146484375,0.1648133937727894,0.0778732191399185,1.2881918963732073,1.4428264690051797,0.13529646900517966,0,904.0014648437498,0.0,0.0
2025-03-31,2025-04-17,6.61,5.66,0.95,16.7845,4.27,1.3900000000000006,0.3255269320843093,2025-04-16,0.3635674230885674,0.3239939962381926,0.52472,-0.47536,0.0054,0.00548,0.20042,0.20042,-14.7231,-14.41391,0.013,-0.01329,1.46362,1.1000525769114324,0.1678445229681978,0.3110954013496055,,,8.2840892,0.324882329640474,0.0279291209314691,0.3998520884903093,0.1603927600026177,1.4294749999999998,0.081815247356466,1.3162,0.2302674935265515,1.101145938286809,0.0654058971748849,0.906486057382946,0.2498802593676546,960.0,31.1,28.8,5990.000000000001,969.0,973.030029296875,1303.0029296875,-0.7824702955446577,0.0618163054695562,0.0658844844226528,1.3560189334869324,-0.10760106651306756,0,-4686.997070312501,-0.0,-0.0
2025-06-30,2025-07-17,7.19,7.07,0.12,1.6973,6.61,0.4599999999999999,0.0695915279878971,2025-07-16,0.3005893971187727,0.318292766720488,0.51877,-0.48148,0.00387,0.00394,0.36882,0.36883,-10.32906,-10.00124,0.03327,-0.03518,1.11241,0.8118206028812271,0.0169731258840169,0.3635674230885674,1.46362,1.1000525769114324,7.864738699999999,0.3160636491469213,0.0270618990288962,0.3573746642646347,0.1142047545232608,1.3367949999999995,0.1667075580170255,1.2511611111111112,0.1877687292551973,1.0194892889037497,0.1510853248479089,0.8886443065225841,0.2503181924351303,1250.0,41.55,40.4,8194.999999999998,1253.0,1209.239990234375,4076.0009765625,-0.5026234317800486,0.0654030327214684,0.564316861982835,0.9887848549090905,-0.12362514509090938,0,-4118.999023437498,-0.0,-0.0
