fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,prev_quarter_EPS,estimatedEPS_change,estimatedEPS_pct_change,as_of,garch_vol,e_garch_vol,call_delta,put_delta,call_gamma,put_gamma,call_vega,put_vega,call_theta,put_theta,call_rho,put_rho,atm_iv,iv_garch_spread,surprise_norm,garch_vol_lag1,atm_iv_lag1,iv_garch_spread_lag1,atm_iv estimatedEPS,garch_vol_roll5_mean,garch_vol_roll5_std,garch_vol_roll10_mean,garch_vol_roll10_std,atm_iv_roll5_mean,atm_iv_roll5_std,atm_iv_roll10_mean,atm_iv_roll10_std,iv_garch_spread_roll5_mean,iv_garch_spread_roll5_std,iv_garch_spread_roll10_mean,iv_garch_spread_roll10_std,strike,call_ask,put_ask,straddle_cost,underlying,underlying_t1,abs_move,return,breakeven_pct,realized_vol,predicted_vol,iv_diff,trade_signal,pnl,pnl_when_signal,return_when_signal
2022-12-31,2023-01-24,2.32,2.29,0.03,1.31,2.35,-0.06,-0.025531914893617,2023-01-23,0.3779987753478303,1.6438790538592714,0.58062,-0.41574,0.02464,0.02623,0.09923,0.09904,-0.79058,-0.71246,0.01459,-0.01156,0.62462,0.2466212246521696,0.0131004366812227,0.3323230122662164,0.68315,0.3508269877337836,1.4303798,0.3198648641983265,0.0400062785092954,0.2665913625097632,0.0674525378554176,0.690958,0.0698061291721565,0.569987,0.1479677678152302,0.3710931358016734,0.0994172317922034,0.3033956374902368,0.1130981510430042,240.0,8.05,4.8,1285.0000000000002,242.5,243.21810913085935,321.8109130859375,-0.7495634917619164,0.0529896907216494,0.0469393137223862,0.11248658261832567,-0.5121334173816743,-1,-963.1890869140627,963.1890869140627,0.7495634917619164
2023-03-31,2023-04-25,2.45,2.23,0.22,9.8655,2.32,-0.0899999999999998,-0.0387931034482758,2023-04-24,0.3131410073051642,0.5104779732455613,0.68366,-0.31056,0.02289,0.02358,0.10497,0.10415,-0.71574,-0.64875,0.01999,-0.00993,0.52706,0.2139189926948357,0.0986547085201793,0.3779987753478303,0.62462,0.2466212246521696,1.1753437999999998,0.3282540964097563,0.0305227488907984,0.2780468508099446,0.0642724052186734,0.6402279999999999,0.0797355803264748,0.564133,0.1484386933720438,0.3119739035902437,0.0830704249876074,0.2860861491900554,0.1121202738506351,275.0,10.4,3.15,1355.0,279.510009765625,301.89544677734375,2689.544677734375,0.9849038212061808,0.0484776914120605,1.2230141477579497,0.5450041307470073,0.017944130747007292,0,1334.544677734375,0.0,0.0
2023-06-30,2023-07-25,2.69,2.55,0.14,5.4902,2.45,0.0999999999999996,0.040816326530612,2023-07-24,0.2855652455157239,0.2632065130367401,0.60159,-0.3962,0.0161,0.01656,0.13943,0.13922,-1.18382,-1.10099,0.0214,-0.01573,0.66364,0.3780747544842761,0.0549019607843137,0.3131410073051642,0.52706,0.2139189926948357,1.6922819999999998,0.3213139613102418,0.0362086055651613,0.2797324378744802,0.0642213225389344,0.6246179999999999,0.0601379141640255,0.5816929999999999,0.1488229274488447,0.3033040386897582,0.0700302271132307,0.3019605621255198,0.1128540039785969,340.0,12.5,7.0,1950.0,347.1099853515625,333.1890563964844,681.0943603515625,-0.6507208408453525,0.0561781591510537,0.6497693964995378,0.5856019291384187,-0.07803807086158132,0,-1268.9056396484375,-0.0,-0.0
2023-09-30,2023-10-24,2.99,2.65,0.34,12.8302,2.69,-0.04,-0.0148698884758364,2023-10-23,0.223570925771222,0.1437289726756937,0.60627,-0.39373,0.02042,0.02042,0.13263,0.13263,-0.93383,-0.88639,0.02079,-0.0148,0.54657,0.322999074228778,0.1283018867924528,0.2855652455157239,0.66364,0.3780747544842761,1.4484105,0.3065197932412313,0.0573116461892021,0.2793391915641815,0.0645876664124856,0.609008,0.0695330940631846,0.595351,0.137121466384126,0.3024882067587686,0.0697070387356739,0.3160118084358185,0.1047846758947535,325.0,10.15,5.5,1565.0,331.29998779296875,325.44769287109375,44.769287109375,-0.9713934267671726,0.0472381544721932,0.2829237578982879,0.4478508569635231,-0.09871914303647689,0,-1520.230712890625,-0.0,-0.0
2023-12-31,2024-01-30,2.93,2.78,0.15,5.3957,2.99,-0.2100000000000004,-0.0702341137123747,2024-01-29,0.1643918999913494,5.0738248271077655e-08,0.59535,-0.40465,0.01653,0.01653,0.1662,0.1662,-1.16938,-1.11028,0.02542,-0.01894,0.54657,0.3821781000086506,0.0539568345323741,0.223570925771222,0.54657,0.322999074228778,1.5194645999999998,0.2729335707862579,0.0822083623928991,0.2747645486950942,0.0713044697960169,0.581692,0.0591820350275286,0.6109600000000001,0.1188798269962836,0.3087584292137421,0.076245570181224,0.3361954513049058,0.0947020194326049,405.0,12.1,7.0,1910.0,412.260009765625,406.6045227050781,160.4522705078125,-0.91599357565036,0.0463299848337426,0.2192780314079887,0.7421303000503765,0.1955603000503765,0,-1749.5477294921875,-0.0,-0.0
2024-03-31,2024-04-25,2.94,2.82,0.12,4.2553,2.93,-0.1100000000000003,-0.037542662116041,2024-04-24,0.1755605737621387,7.9497309757375055e-25,0.58182,-0.41818,0.01652,0.01652,0.11825,0.11825,-2.34104,-2.28192,0.0124,-0.00978,0.78071,0.6051494262378613,0.0425531914893617,0.1643918999913494,0.54657,0.3821781000086506,2.2016022,0.2324459304691196,0.0657255993448012,0.2761553973337231,0.068949741642788,0.61291,0.1082850250496332,0.651934,0.095232402888931,0.3804640695308803,0.1427687330517525,0.3757786026662769,0.1160872873004999,405.0,11.75,7.5,1925.0,394.0299987792969,402.5024719238281,249.7528076171875,-0.8702582817573052,0.0488541483126574,0.3377173414652707,-0.1976268574410298,-0.9783368574410298,-1,-1675.2471923828125,1675.2471923828125,0.8702582817573052
2024-06-30,2024-07-30,2.95,2.93,0.02,0.6826,2.94,-0.0099999999999997,-0.0034013605442176,2024-07-29,0.1945631109196396,0.6698076874197367,0.54182,-0.45818,0.01468,0.01468,0.17724,0.17724,-1.37263,-1.3106,0.02405,-0.0225,0.60511,0.4105468890803604,0.0068259385665529,0.1755605737621387,0.78071,0.6051494262378613,1.7729723000000002,0.2087303511920147,0.0484527778515677,0.2684922238008854,0.0736599195271568,0.6285200000000001,0.0979474905242585,0.634374,0.0844252383538879,0.4197896488079853,0.1083591851611267,0.3658817761991145,0.1073054939867996,425.0,12.0,9.85,2185.0,427.7200012207031,405.3819274902344,1961.8072509765625,-0.1021477112235411,0.0510848217002726,0.851494714457966,0.5915507550571188,-0.013559244942881188,0,-223.1927490234373,-0.0,-0.0
2024-09-30,2024-10-30,3.3,3.1,0.2,6.4516,2.95,0.1499999999999999,0.0508474576271186,2024-10-29,0.1865523201282435,0.202676990336549,0.54517,-0.45413,0.01571,0.0162,0.15522,0.15519,-1.69611,-1.58851,0.01844,-0.01684,0.64413,0.4575776798717564,0.064516129032258,0.1945631109196396,0.60511,0.4105468890803604,1.996803,0.1889277661145186,0.0224624070588298,0.2551208637123802,0.0753346261595554,0.624618,0.0965776543513027,0.624618,0.0758472501222739,0.4356902338854813,0.1065252457041736,0.3694971362876197,0.109960954900394,430.0,11.4,9.0,2040.0,437.44000244140625,407.981689453125,2201.8310546875,0.0793289483762256,0.0466349668209242,1.1067272639027146,0.032821813243865794,-0.6113081867561342,-1,161.83105468750023,-161.83105468750023,-0.0793289483762256
2024-12-31,2025-01-29,3.23,3.11,0.12,3.8585,3.3,-0.1899999999999999,-0.0575757575757575,2025-01-28,0.2006818200701216,0.1835081600608161,0.54927,-0.45073,0.01614,0.01614,0.16051,0.16051,-1.64658,-1.59381,0.01929,-0.01728,0.60511,0.4044281799298784,0.0385852090032154,0.1865523201282435,0.64413,0.4575776798717564,1.8818921,0.1843499449742986,0.0145899448674287,0.2454348691077649,0.0755010262509475,0.6363260000000001,0.0879099805482843,0.622667,0.0760977048931153,0.4519760550257014,0.0899199513331613,0.377232130892235,0.1093644353815415,445.0,11.1,8.75,1985.0,446.69000244140625,413.4703369140625,3152.96630859375,0.5883961252361459,0.0444379768777202,1.226767234749692,0.03573745548105567,-0.5693725445189444,-1,1167.9663085937498,-1167.9663085937498,-0.5883961252361459
2025-03-31,2025-04-30,3.46,3.22,0.24,7.4534,3.23,-0.0099999999999997,-0.003095975232198,2025-04-29,0.2841422061371086,2.471029342711006,0.49746,-0.50254,0.01734,0.01734,0.14251,0.14251,-1.55217,-1.50532,0.01539,-0.01707,0.64413,0.3599877938628913,0.0745341614906832,0.2006818200701216,0.60511,0.4044281799298784,2.0740986,0.2083000062034504,0.043426980752128,0.2406167884948541,0.0707265581070041,0.655838,0.0724807403383807,0.618765,0.0736115610258765,0.4475379937965495,0.094649345376578,0.3781482115051459,0.1091568499781545,395.0,8.9,9.65,1855.0,390.2999877929687,434.48236083984375,3948.236083984375,1.128429155786725,0.0475275444021783,1.702377532909036,-0.3576549271734639,-1.001784927173464,-1,2093.236083984375,-2093.236083984375,-1.128429155786725
