fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,prev_quarter_EPS,estimatedEPS_change,estimatedEPS_pct_change,as_of,garch_vol,atm_iv,iv_garch_spread,surprise_norm,garch_vol_lag1,atm_iv_lag1,iv_garch_spread_lag1,garch_vol_roll5_mean,garch_vol_roll5_std,garch_vol_roll10_mean,garch_vol_roll10_std,atm_iv_roll5_mean,atm_iv_roll5_std,atm_iv_roll10_mean,atm_iv_roll10_std,iv_garch_spread_roll5_mean,iv_garch_spread_roll5_std,iv_garch_spread_roll10_mean,iv_garch_spread_roll10_std,strike,call_ask,put_ask,straddle_cost,underlying,underlying_t1,abs_move,return,breakeven_pct,realized_vol
2009-12-31,2010-01-28,0.04,0.04,0.0,0.0,,,,2010-01-27,0.4201474713311013,,,0.0,,,,,,,,,,,,,,,,120.0,38.75,0.03,3878.0,6.221499919891357,8.456500053405762,11154.349994659424,1.8763151095047508,6.233223579415749,4.8722731733947855
2010-03-31,2010-04-22,0.03,0.03,0.0,0.0,0.04,-0.010000000000000002,-0.25000000000000006,2010-04-21,0.304524547894608,,,0.0,0.4201474713311013,,,,,,,,,,,,,,,120.0,38.75,0.03,3878.0,7.350500106811523,8.456500053405762,11154.349994659424,1.8763151095047508,5.275831499419142,2.225082621839111
2010-06-30,2010-07-22,0.02,0.03,-0.01,-33.3333,0.03,0.0,0.0,2010-07-21,0.40602596319510637,,,-0.33333333333333337,0.304524547894608,,,0.3768993274736052,0.06307484274526627,,,,,,,,,,,120.0,38.75,0.03,3878.0,5.935500144958496,8.456500053405762,11154.349994659424,1.8763151095047508,6.533569042692892,5.619323186572533
2010-09-30,2010-10-21,0.03,0.02,0.01,50.0,0.02,0.0,0.0,2010-10-20,0.3923426728745615,0.01976,-0.3725826728745615,0.5,0.40602596319510637,,,0.38076016382384426,0.052076047797300136,,,,,,,,,,,120.0,38.75,0.03,3878.0,8.133500099182129,8.456500053405762,11154.349994659424,1.8763151095047508,4.767935025155967,0.6182173951737682
2010-12-31,2011-01-27,0.05,0.04,0.01,25.0,0.03,0.010000000000000002,0.3333333333333334,2011-01-26,0.2552526548749102,1.34655,1.0912973451250898,0.25,0.3923426728745615,0.01976,-0.3725826728745615,0.3556586620340575,0.07200252097081995,0.3556586620340575,0.07200252097081995,,,,,,,,,145.0,30.7,0.14,3084.0,8.87399959564209,8.557000160217285,13644.299983978271,3.4242217846881555,3.4753213213064758,0.5774499429705012
2011-03-31,2011-04-26,0.02,0.03,-0.01,-33.3333,0.05,-0.020000000000000004,-0.4000000000000001,2011-04-25,0.31334688538461236,1.32704,1.0136931146153876,-0.33333333333333337,0.2552526548749102,1.34655,1.0912973451250898,0.3342985448447597,0.06341856784805383,0.34860669925914994,0.06667736868529518,0.8977833333333333,0.7604530823353491,,,0.5774692622886386,0.8236835641062391,,,145.0,41.1,0.13,4123.0,9.31350040435791,9.790499687194824,13520.950031280518,2.279396078409051,4.426906985552708,0.7928918531385386
2011-06-30,2011-07-26,0.02,0.02,0.0,0.0,0.02,0.0,0.0,2011-07-25,0.31674175752258726,1.20997,0.8932282424774127,0.0,0.31334688538461236,1.32704,1.0136931146153876,0.33674198677035555,0.062208433584326775,0.3440545647253553,0.0620479364203625,0.97583,0.6402273468594314,,,0.6564090073358322,0.690817638197642,,,175.0,40.2,0.18,4038.0000000000005,10.749500274658203,11.12600040435791,16387.39995956421,3.0582961762169907,3.7564536925679506,0.5464875622992962
2011-09-30,2011-10-25,0.01,0.01,0.0,0.0,0.02,-0.01,-0.5,2011-10-24,0.3565333882265227,1.19046,0.8339266117734774,0.0,0.31674175752258726,1.20997,0.8932282424774127,0.3268434717766388,0.05143219814238924,0.3456144176630012,0.05761440096591515,1.018756,0.5627001858272308,1.018756,0.5627001858272308,0.6919125282233611,0.603509947648572,0.6919125282233611,0.603509947648572,185.0,53.25,0.15,5340.0,11.929499626159668,10.866000175476074,17413.399982452393,2.260936326301946,4.476298392507722,1.482292148632502
2011-12-31,2012-01-31,0.02,0.01,0.01,100.0,0.01,0.0,0.0,2012-01-30,0.33798770486934626,0.01976,-0.31822770486934626,1.0,0.3565333882265227,1.19046,0.8339266117734774,0.3159724781755958,0.03815835459116663,0.34476700513037284,0.0539532646911444,1.0187560000000002,0.5627001858272308,0.8522566666666668,0.6477942322270759,0.7027835218244043,0.5795557334040105,0.5235558227079099,0.679296170518224,145.0,47.45,0.08,4753.0,9.699999809265137,9.383999824523926,13561.600017547607,1.853271621617422,4.9000000963506025,0.5257601001054291
2012-03-31,2012-04-26,0.01,0.07,-0.06,-85.7143,0.02,0.05,2.5,2012-04-25,0.3012134447136907,0.01976,-0.2814534447136907,-0.857142857142857,0.33798770486934626,0.01976,-0.31822770486934626,0.3251646361433519,0.021981204396956302,0.3404116490887047,0.052699208858845666,0.753398,0.6717506526383135,0.7333285714285714,0.6698544983409599,0.4282333638566481,0.6679127678240695,0.4085544987905384,0.690733815773612,145.0,50.15,0.02,5017.0,9.678500175476074,11.342499732971191,13365.75002670288,1.6640920922270044,5.183654397932807,2.51848686756046
