fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,prev_quarter_EPS,estimatedEPS_change,estimatedEPS_pct_change,as_of,garch_vol,e_garch_vol,call_delta,put_delta,call_gamma,put_gamma,call_vega,put_vega,call_theta,put_theta,call_rho,put_rho,atm_iv,iv_garch_spread,surprise_norm,garch_vol_lag1,atm_iv_lag1,iv_garch_spread_lag1,atm_iv estimatedEPS,garch_vol_roll5_mean,garch_vol_roll5_std,garch_vol_roll10_mean,garch_vol_roll10_std,atm_iv_roll5_mean,atm_iv_roll5_std,atm_iv_roll10_mean,atm_iv_roll10_std,iv_garch_spread_roll5_mean,iv_garch_spread_roll5_std,iv_garch_spread_roll10_mean,iv_garch_spread_roll10_std,strike,call_ask,put_ask,straddle_cost,underlying,underlying_t1,abs_move,return,breakeven_pct,realized_vol
2013-03-31,2013-04-23,0.36,0.3575,0.0025,0.6993,0.4925,-0.135,-0.2741116751269036,2013-04-22,0.3361443698640353,0.4262691295703867,0.98437,-0.00095,0.00064,8e-05,0.01637,0.00134,-0.30067,-0.01662,0.03106,-4e-05,1.46362,1.1274756301359647,0.006993006993006994,0.3394382053515382,1.46362,1.1241817946484618,0.5232441499999999,0.35679049143299457,0.08508655124348842,0.29508558677168734,0.09240939863152148,0.917294,0.6001210191952953,0.8219044444444444,0.5244096881520952,0.5605035085670055,0.6279761854040786,0.5157470671019075,0.547527712451872,290.0,110.78,0.02,11080.0,14.428214073181152,12.72368049621582,27727.631950378418,1.5024938583374023,7.6793981180215924,1.9957548289196112
2013-06-30,2013-07-23,0.2675,0.2625,0.005,1.9048,0.36,-0.09749999999999998,-0.27083333333333326,2013-07-22,0.2368915640759013,0.24876240879203904,1.0,-0.00061,0.0,4e-05,0.0,0.00096,-0.00069,-0.01521,0.03068,-3e-05,0.01976,-0.2171315640759013,0.019047619047619046,0.3361443698640353,1.46362,1.1274756301359647,0.005187,0.3135076123489094,0.07850535635691179,0.2992307960158734,0.0882803872881216,0.737788,0.7219827234221051,0.74169,0.5556913918714235,0.4242803876510905,0.7211159689792241,0.4424592039841267,0.565851643931084,280.0,146.75,0.02,14677.000000000002,15.214285850524902,13.538244247436523,26646.175575256348,0.8155055921003165,9.646854373709322,1.852813147919038
2013-09-30,2013-10-28,0.295,0.285,0.01,3.5088,0.2675,0.01749999999999996,0.06542056074766339,2013-10-27,0.2734732509308375,0.4585171762626519,,,,,,,,,,,,,0.03508771929824562,0.2368915640759013,0.01976,-0.2171315640759013,,0.3212453510840031,0.07028234414511987,0.3039803864621601,0.08512255098890761,0.74169,0.833612959672133,0.7156744444444444,0.5829047397755295,0.4085016238777055,0.8316757331121819,0.4083043762565819,0.5891416471567713,390.0,157.8,0.11,15791.000000000002,18.894285202026367,16.97337532043457,37302.66246795654,1.3622736031889393,8.357553530686863,1.7019623008144829
2013-12-31,2014-01-27,0.5175,0.5025,0.015,2.9851,0.295,0.20749999999999996,0.7033898305084745,2014-01-26,0.2507706274007473,0.3074614239913722,,,,,,,,,,,,,0.02985074626865672,0.2734732509308375,,,,0.28734360352461186,0.04788199004580849,0.3068524145041672,0.08249505023597738,0.9823333333333334,0.8336129596721329,0.6758375,0.6099134330788263,0.6781752869028418,0.7753602262143447,0.35780246666123916,0.6086367854801022,420.0,112.3,0.03,11233.0,19.645357131958008,17.8839054107666,40211.60945892334,2.57977472259622,5.717890453478578,1.4912490911432514
2014-03-31,2014-04-23,0.415,0.365,0.05,13.6986,0.5175,-0.15249999999999997,-0.2946859903381642,2014-04-22,0.21038708878826246,3.6844151329647845,1.0,-0.00241,0.0,0.00017,0.0,0.00362,-0.00115,-0.05644,0.03452,-0.00011,0.01976,-0.19062708878826246,0.13698630136986303,0.2507706274007473,,,0.0072124,0.26153338021195677,0.04756143229183172,0.29597784231276875,0.08769966904293455,0.5010466666666666,0.8336129596721331,0.6758375,0.6099134330788263,0.23990565909060033,0.7687723732865731,0.37139568190048716,0.5928729789984292,420.0,112.3,0.03,11233.0,18.895000457763672,17.8839054107666,40211.60945892334,2.57977472259622,5.944958839831375,0.8730374779656418
2014-06-30,2014-07-22,0.32,0.3075,0.0125,4.065,0.415,-0.10749999999999998,-0.25903614457831325,2014-07-21,0.24362616689529473,0.25078953425594713,0.99504,-0.00162,0.00059,0.00025,0.00141,0.00052,-0.04351,-0.0137,0.00542,-2e-05,2.45872,2.215093833104705,0.04065040650406505,0.21038708878826246,0.01976,-0.19062708878826246,0.7560564,0.24302973961820867,0.022859922913227637,0.29991011552560165,0.0839331484947007,0.8327466666666666,1.4081342125427296,0.88558875,0.8799080993804733,0.6024450600801804,1.396657678407883,0.5762315903844462,0.8849552046628263,50.0,45.0,0.04,4504.0,23.670000076293945,21.497600555419922,2850.239944458008,-0.3671758560261972,1.9028305811079655,1.5281928349063532
2014-09-30,2014-10-20,0.355,0.3275,0.0275,8.3969,0.32,0.007500000000000007,0.02343750000000002,2014-10-19,0.22893837182993879,0.21793706175209643,,,,,,,,,,,,,0.08396946564885496,0.24362616689529473,2.45872,2.215093833104705,,0.24143910116901615,0.023656622202729526,0.2774733567589628,0.06656290488643855,,,0.88106,0.9503086610149356,,,0.592266954653128,0.9546046788255624,65.0,49.1,0.01,4911.0,24.579999923706055,26.0280818939209,3897.19181060791,-0.20643620227898388,1.9979658320761877,0.908703294505458
2014-12-31,2015-01-27,0.765,0.65,0.115,17.6923,0.355,0.29500000000000004,0.8309859154929579,2015-01-26,0.21658140629994788,0.20008003004690542,1.0,-0.00158,0.0,0.00023,0.0,0.00061,-0.00021,-0.01406,0.00712,-2e-05,0.01976,-0.19682140629994788,0.17692307692307693,0.22893837182993879,,,0.012844,0.2300607322428382,0.017196837952880722,0.2756530416634207,0.06809139554016444,0.8327466666666666,1.4081342125427296,0.7807142857142857,1.0053713498148686,0.6092151126721649,1.3907352159724362,0.49452169050390243,1.001033133629981,65.0,49.1,0.01,4911.0,28.104999542236328,26.0280818939209,3897.19181060791,-0.20643620227898388,1.7473759402200755,1.2187090212413256
2015-03-31,2015-04-27,0.5825,0.54,0.0425,7.8704,0.765,-0.22499999999999998,-0.2941176470588235,2015-04-26,0.21121764876325436,0.21744135244318263,,,,,,,,,,,,,0.0787037037037037,0.21658140629994788,0.01976,-0.19682140629994788,,0.22215013651533963,0.014108502366108418,0.2547468700199758,0.047833518688105744,0.8327466666666666,1.4081342125427296,0.90754,1.0381781456378283,0.6092151126721649,1.3907352159724362,0.6436951997875033,1.00774888748408,80.0,53.6,0.01,5361.0,33.07749938964844,27.883869171142578,5211.613082885742,-0.027865494705140423,1.6207392030601073,2.711444026571238
2015-06-30,2015-07-21,0.4625,0.4525,0.01,2.2099,0.5825,-0.13,-0.22317596566523606,2015-07-20,0.19552791185169818,0.17705326787232878,1.0,-0.00147,0.0,0.00021,0.0,0.00066,-0.00031,-0.01374,0.00877,-2e-05,0.01976,-0.17576791185169818,0.022099447513812154,0.21121764876325436,,,0.0089414,0.21917830112802678,0.018182504519616022,0.24035584066999177,0.04062792561710384,0.8327466666666666,1.4081342125427296,0.6668966666666667,1.050765662660646,0.6141681716510198,1.3864822546764928,0.42703691537081,1.0234057505588894,80.0,53.6,0.01,5361.0,33.212501525878906,27.883869171142578,5211.613082885742,-0.027865494705140423,1.6141512242981013,2.776102207497359
