fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,prev_quarter_EPS,estimatedEPS_change,estimatedEPS_pct_change,as_of,garch_vol,e_garch_vol,call_delta,put_delta,call_gamma,put_gamma,call_vega,put_vega,call_theta,put_theta,call_rho,put_rho,atm_iv,iv_garch_spread,surprise_norm,garch_vol_lag1,atm_iv_lag1,iv_garch_spread_lag1,atm_iv estimatedEPS,garch_vol_roll5_mean,garch_vol_roll5_std,garch_vol_roll10_mean,garch_vol_roll10_std,atm_iv_roll5_mean,atm_iv_roll5_std,atm_iv_roll10_mean,atm_iv_roll10_std,iv_garch_spread_roll5_mean,iv_garch_spread_roll5_std,iv_garch_spread_roll10_mean,iv_garch_spread_roll10_std,strike,call_ask,put_ask,straddle_cost,underlying,underlying_t1,abs_move,return,breakeven_pct,realized_vol
2007-12-31,2008-01-23,0.03,0.02,0.01,50.0,,,,2008-01-22,0.3863424583507313,0.3731684730774737,1.0,-0.00706,0.0,0.00522,0.0,0.00115,-0.00151,-0.00146,0.01025,-0.00011,0.01976,-0.3665824583507313,0.5,,,,0.0003952,,,,,,,,,,,,,15.0,7.6,0.25,785.0,3.1500000953674316,3.8271429538726807,1117.285704612732,0.4232938912264101,2.4920634166153373,3.0910218906984475
2008-03-31,2008-04-21,0.03,0.03,0.0,0.0,0.03,0.0,0.0,2008-04-20,0.549214953025263,0.5798522862910052,,,,,,,,,,,,,0.0,0.3863424583507313,0.01976,-0.3665824583507313,,,,,,,,,,,,,,7.5,19.4,0.1,1950.0,5.508571147918701,4.369999885559082,313.0000114440918,-0.8394871736184145,3.5399379396901622,3.6756198535098363
2008-06-30,2008-07-25,0.06,0.06,0.0,0.0,0.03,0.03,1.0,2008-07-24,0.46907999590684435,0.4717865686616639,1.0,-0.00224,0.0,0.00054,0.0,0.00047,-0.00042,-0.002,0.00472,-4e-05,0.01976,-0.44931999590684435,0.0,0.549214953025263,,,0.0011856,0.46821246909427955,0.08143971287065192,,,,,,,,,,,7.5,19.4,0.1,1950.0,4.055714130401611,4.369999885559082,313.0000114440918,-0.8394871736184145,4.8080311809523515,1.1848129406019787
2008-09-30,2008-10-20,0.05,0.04,0.01,25.0,0.06,-0.019999999999999997,-0.3333333333333333,2008-10-19,0.5938895548000828,0.5864420071603086,,,,,,,,,,,,,0.25,0.46907999590684435,0.01976,-0.44931999590684435,,0.49963174052073034,0.09148934558831849,,,,,,,,,,,17.5,13.2,0.1,1330.0,3.434286117553711,5.082857131958008,1241.7142868041992,-0.0663802354855645,3.8727116916728455,6.223830243315476
2008-12-31,2009-01-26,0.05,0.05,0.0,0.0,0.05,0.0,0.0,2009-01-25,0.5415426052022059,0.5667726204897399,,,,,,,,,,,,,0.0,0.5938895548000828,,,,0.5080139134570254,0.08141885151980387,0.5080139134570254,0.08141885151980387,,,,,,,,,17.5,13.2,0.1,1330.0,4.3428568840026855,5.082857131958008,1241.7142868041992,-0.0663802354855645,3.0625001825392353,2.497713026303803
2009-03-31,2009-04-23,0.05,0.04,0.01,25.0,0.05,-0.010000000000000002,-0.20000000000000004,2009-04-22,0.7083033361815251,0.757851817468221,1.0,-0.00295,0.0,0.00085,0.0,0.00106,-0.0001,-0.00198,0.01644,-0.0001,0.01976,-0.6885433361815251,0.25,0.5415426052022059,,,0.0007904,0.5724060890231842,0.08817066693086029,0.5413954839111087,0.10949520072646403,,,,,,,,,25.0,21.3,0.15,2145.0,6.539999961853027,5.538570880889893,1946.1429119110107,-0.09270726717435397,3.279816532892213,2.6383536193832993
2009-06-30,2009-07-23,0.08,0.07,0.01,14.2857,0.05,0.020000000000000004,0.4000000000000001,2009-07-22,0.44876684591476645,0.37678483619019526,1.0,-0.00373,0.0,0.00127,0.0,0.00147,-0.00011,-0.00157,0.02335,-0.00015,0.01976,-0.42900684591476645,0.14285714285714285,0.7083033361815251,0.01976,-0.6885433361815251,0.0013832,0.5523164676010849,0.10467465695102943,0.5281628213402028,0.10590903012860649,0.01976,0.0,,,-0.5222900593343786,0.14433734812050758,,,27.5,18.3,0.05,1835.0000000000002,6.54714298248291,6.3314290046691895,2116.857099533081,0.153600599200589,2.802749237201022,0.5318405700807609
2009-09-30,2009-10-22,0.07,0.06,0.01,16.6667,0.08,-0.020000000000000004,-0.25000000000000006,2009-10-21,0.429825238709996,0.4116553555824566,1.0,-0.00521,0.0,0.0025,0.0,0.00209,-0.00011,-0.00145,0.02972,-0.00022,0.01976,-0.410065238709996,0.16666666666666669,0.44876684591476645,0.01976,-0.42900684591476645,0.0011856,0.5444655161617152,0.11357237667440208,0.5158706235114269,0.10403421903705605,0.01976,0.0,0.01976,0.0,-0.5092051402687625,0.15559992771787604,-0.4687035750127726,0.12663752503052775,35.0,13.6,0.15,1375.0,6.867143154144287,8.625714302062988,2637.428569793701,0.9181298689408736,2.002288242921213,3.619381459901924
2009-12-31,2010-01-27,0.08,0.06,0.02,33.3333,0.07,-0.010000000000000009,-0.14285714285714296,2010-01-26,0.323521252252021,3.1130849595297255e-10,1.0,-0.00691,0.0,0.00419,0.0,0.00252,-0.00013,-0.00177,0.0274,-0.00024,0.01976,-0.303761252252021,0.33333333333333337,0.429825238709996,0.01976,-0.410065238709996,0.0011856,0.4903918556521029,0.14435075972142883,0.4944984711492706,0.11653818669706446,0.01976,0.0,0.01976,0.0,-0.4578441682645771,0.16337897493679437,-0.4412131878859807,0.13177244971150592,40.0,10.7,0.4,1110.0,7.142857074737549,9.324286460876465,3067.5713539123535,1.7635777963174355,1.5540000148200992,4.230708691269482
2010-03-31,2010-04-21,0.08,0.08,0.0,0.0,0.08,0.0,0.0,2010-04-20,0.43023265661843074,0.3786946764539993,1.0,-0.00135,0.0,0.00019,0.0,0.00114,-0.00022,-0.00164,0.03506,-0.00011,0.01976,-0.41047265661843074,0.0,0.323521252252021,0.01976,-0.303761252252021,0.0015808,0.46812986593534783,0.14306756834334064,0.48807188969618664,0.11173693167172213,0.01976,0.0,0.01976,0.0,-0.4483698659353478,0.1430675683433407,-0.43682168341918787,0.12085106232955711,40.0,47.5,0.05,4755.0,12.635713577270508,14.517143249511719,2548.285675048828,-0.46408292848605087,3.76314322964192,2.203429770254868
