fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,prev_quarter_EPS,estimatedEPS_change,estimatedEPS_pct_change,as_of,garch_vol,e_garch_vol,call_delta,put_delta,call_gamma,put_gamma,call_vega,put_vega,call_theta,put_theta,call_rho,put_rho,atm_iv,iv_garch_spread,surprise_norm,garch_vol_lag1,atm_iv_lag1,iv_garch_spread_lag1,atm_iv estimatedEPS,garch_vol_roll5_mean,garch_vol_roll5_std,garch_vol_roll10_mean,garch_vol_roll10_std,atm_iv_roll5_mean,atm_iv_roll5_std,atm_iv_roll10_mean,atm_iv_roll10_std,iv_garch_spread_roll5_mean,iv_garch_spread_roll5_std,iv_garch_spread_roll10_mean,iv_garch_spread_roll10_std,strike,call_ask,put_ask,straddle_cost,underlying,underlying_t1,abs_move,return,breakeven_pct,realized_vol
2014-03-31,2014-04-16,6.27,6.35,-0.08,-1.2598,,,,2014-04-15,0.23409231258843394,0.21657812659589354,1.0,-0.00061,0.0,4e-05,0.0,0.0012,-0.00107,-0.01431,0.04274,-4e-05,0.01976,-0.21433231258843394,-0.012598425196850395,,,,0.125476,,,,,,,,,,,,,390.0,148.45,0.05,14850.0,27.075664520263672,26.202877044677734,36379.71229553223,1.449812275793416,5.484629929908507,0.5201460402751156
2014-06-30,2014-07-17,6.08,6.57,-0.49,-7.4581,6.27,0.3000000000000007,0.04784688995215323,2014-07-16,0.1844474604558308,0.8836639677981067,1.0,-0.00026,0.0,1e-05,0.0,0.0005,-0.00064,-0.02231,0.02137,-1e-05,0.01976,-0.1646874604558308,-0.0745814307458143,0.23409231258843394,0.01976,-0.21433231258843394,0.1298232,,,,,,,,,,,,,260.0,324.7,0.25,32495.0,28.89716339111328,29.219120025634766,23078.087997436523,-0.289795722497722,11.245048366924886,0.17588720794355409
2014-09-30,2014-10-16,0.3175,6.33,-6.0125,-94.9842,6.08,0.25,0.04111842105263158,2014-10-15,0.26851215733077777,0.28549497566575893,0.9963,-0.00044,0.00011,2e-05,0.00531,0.00076,-0.18543,-0.02088,0.02654,-2e-05,2.088,1.8194878426692223,-0.9498420221169036,0.1844474604558308,0.01976,-0.1646874604558308,13.21704,0.22901731012501417,0.04226150793182808,,,0.7091733333333333,1.1940989207487516,,,0.4801560232083191,1.1601609564199085,,,325.0,207.2,0.2,20739.999999999996,25.878948211669922,25.817235946655273,29918.276405334473,0.44253984596598256,8.014236061822423,0.037900371863977
2014-12-31,2015-01-29,0.344,6.93,-6.586,-95.0361,0.3175,6.6125,20.826771653543307,2015-01-28,0.33894728673577673,0.31713125882698334,0.98168,-0.00073,0.0006,5e-05,0.01696,0.00096,-0.83707,-0.03036,0.02028,-2e-05,1.97093,1.6319827132642233,-0.9503607503607504,0.26851215733077777,2.088,1.8194878426692223,13.6585449,0.2564998042777048,0.06489869008327784,,,1.0246125,1.1612876301007429,,,0.7681126957222952,1.1085990306908637,,,380.0,132.6,0.05,13265.0,25.480045318603516,26.495330810546875,35350.46691894531,1.6649428510324398,5.206034696616079,0.6202632543350006
2015-03-31,2015-04-23,0.3285,6.71,-6.3815,-95.1043,0.344,6.366,18.505813953488374,2015-04-22,0.20498435302022444,0.20113749357864225,0.99163,-0.00098,0.00049,9e-05,0.0091,0.00132,-0.268,-0.02952,0.02385,-3e-05,1.17095,0.9659656469797755,-0.951043219076006,0.33894728673577673,1.97093,1.6319827132642233,7.8570744999999995,0.24619671402620874,0.06074247545619438,0.24619671402620874,0.06074247545619438,1.05388,1.007831658884558,1.05388,1.007831658884558,0.8076832859737912,0.9641436698961422,0.8076832859737912,0.9641436698961422,440.0,101.7,0.05,10175.0,26.97593879699707,28.009151458740234,41199.08485412598,3.0490501085136095,3.771879850621795,0.5966589600232012
2015-06-30,2015-07-16,0.3495,0.337,0.0125,3.7092,0.3285,0.008500000000000008,0.025875190258751925,2015-07-15,0.2684629530672741,0.2386786472424037,1.0,-0.00034,0.0,1e-05,0.0,0.00052,-0.00107,-0.03319,0.01644,-1e-05,0.01976,-0.24870295306727408,0.037091988130563795,0.20498435302022444,1.17095,0.9659656469797755,0.00665912,0.2530708421219768,0.060974572527545096,0.2499077538663863,0.055084930423931845,1.05388,1.007831658884558,0.8815266666666667,0.9953962784673582,0.8008091578780233,0.9733308531723223,0.6316189128002804,0.9641837967765942,300.0,261.7,0.25,26195.0,28.256000518798828,33.44768142700195,26655.231857299805,0.017569454372964484,9.2705972250292,2.677658439024697
2015-09-30,2015-10-22,0.3675,0.3605,0.007,1.9417,0.3495,0.01100000000000001,0.031473533619456394,2015-10-21,0.290775145193104,0.25799369694005786,1.0,-0.00049,0.0,2e-05,0.0,0.00083,-0.00153,-0.03482,0.02356,-2e-05,0.01976,-0.271015145193104,0.01941747572815534,0.2684629530672741,0.01976,-0.24870295306727408,0.00712348,0.2743363790694314,0.04827764656166327,0.25574595262734595,0.052604339997587714,1.05388,1.007831658884558,0.7584171428571429,0.9652822436765026,0.7795436209305686,1.0004816715312836,0.5026711902297969,0.9439816034921309,430.0,214.5,0.4,21490.0,32.334999084472656,34.8925895690918,39510.74104309082,0.8385640317864504,6.646049360898096,1.2084352723602505
2015-12-31,2016-02-01,0.4335,0.405,0.0285,7.037,0.3675,0.03750000000000003,0.10204081632653071,2016-01-31,0.4022341268623169,0.3858267916822226,,,,,,,,,,,,,0.07037037037037037,0.290775145193104,0.01976,-0.271015145193104,,0.30108077297573926,0.07428075782913814,0.27405697440671734,0.071093235122568,0.7953499999999999,0.9532651594388626,0.7584171428571429,0.9652822436765026,0.5195575654959053,0.9402126213204131,0.5026711902297969,0.9439816034921309,450.0,305.2,0.1,30530.0,37.52299880981445,35.72613525390625,41427.386474609375,0.3569402710320791,8.136343301008933,0.7789866380989626
2016-03-31,2016-04-21,0.375,0.398,-0.023,-5.7789,0.4335,-0.035499999999999976,-0.0818915801614763,2016-04-20,0.26310738478570433,0.2615595873015932,0.9957,-0.00033,8e-05,1e-05,0.00704,0.00067,-0.48895,-0.03518,0.02447,-1e-05,2.7514,2.4882926152142955,-0.057788944723618084,0.4022341268623169,,,1.0950572,0.2859127925857248,0.07233306839789276,0.2728403533377159,0.06660171598088512,0.9904675,1.2933165767997408,1.00754,1.1380498322631947,0.7336350409834234,1.3047491003290608,0.7508738683528593,1.120998502250002,450.0,305.2,0.1,30530.0,37.76900100708008,35.72613525390625,41427.386474609375,0.3569402710320791,8.083348562562437,0.8827208388507033
2016-06-30,2016-07-28,0.421,0.4015,0.0195,4.8568,0.375,0.026500000000000024,0.07066666666666672,2016-07-27,0.17642510413777615,0.16903640348415638,0.99706,-0.00061,0.00012,3e-05,0.00493,0.00117,-0.17917,-0.03489,0.03056,-3e-05,1.40509,1.2286648958622237,0.048567870485678705,0.26310738478570433,2.7514,2.4882926152142955,0.564143635,0.2802009428092351,0.08093717716111556,0.2631988284177219,0.06980338962101237,1.0490024999999998,1.3094064562840422,1.0517122222222222,1.072764377703438,0.7993098532040352,1.326767370632637,0.8039617602983442,1.0606238047638963,560.0,184.1,0.05,18415.0,37.35200119018555,38.21235656738281,52178.76434326172,1.833492497597704,4.9301240665088235,0.3615013433981808
