fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,prev_quarter_EPS,estimatedEPS_change,estimatedEPS_pct_change,as_of,garch_vol,e_garch_vol,call_delta,put_delta,call_gamma,put_gamma,call_vega,put_vega,call_theta,put_theta,call_rho,put_rho,atm_iv,iv_garch_spread,surprise_norm,garch_vol_lag1,atm_iv_lag1,iv_garch_spread_lag1,atm_iv estimatedEPS,garch_vol_roll5_mean,garch_vol_roll5_std,garch_vol_roll10_mean,garch_vol_roll10_std,atm_iv_roll5_mean,atm_iv_roll5_std,atm_iv_roll10_mean,atm_iv_roll10_std,iv_garch_spread_roll5_mean,iv_garch_spread_roll5_std,iv_garch_spread_roll10_mean,iv_garch_spread_roll10_std,strike,call_ask,put_ask,straddle_cost,underlying,underlying_t1,abs_move,return,breakeven_pct,realized_vol
2010-09-30,2010-10-28,0.62,0.55,0.07,12.7273,0.51,0.040000000000000036,0.07843137254901968,2010-10-27,0.232344992039779,0.227331544766764,1.0,-0.00952,0.0,0.00848,0.0,0.00049,-0.0001,-0.01921,0.0011,-1e-05,0.01976,-0.212584992039779,0.1272727272727273,0.2590342053877365,0.01976,-0.23927420538773653,0.010868000000000001,0.2117044211952796,0.046569807311301316,0.37628983589906834,0.2492855341250997,0.01976,0.0,0.01976,0.0,-0.1919444211952796,0.046569807311301316,-0.35652983589906834,0.24928553412509968,20.0,6.15,0.01,616.0,26.209999084472656,20.293474197387695,29.34741973876953,-0.9523580848396599,0.23502480790429753,4.061359748091405
2010-12-31,2011-01-27,0.77,0.68,0.09,13.2353,0.62,0.06000000000000005,0.09677419354838718,2011-01-26,0.19139622644297113,0.19603483901235078,0.97939,-0.01232,0.01896,0.01348,0.00106,0.00068,-0.03263,-0.01893,0.00128,-2e-05,1.22948,1.0380837735570287,0.13235294117647056,0.232344992039779,0.01976,-0.212584992039779,0.8360464,0.20211756383034554,0.044341488620354357,0.36245856909364693,0.25590630251839286,0.261704,0.5410032307482091,0.140732,0.38254705310588916,0.05958643616965444,0.5487582085264842,-0.22172656909364702,0.5077562435614233,24.0,4.85,0.01,485.99999999999994,28.75,21.244998931884766,275.50010681152344,-0.43312735223966364,0.16904347826086955,4.8022964943365425
2011-03-31,2011-04-28,0.61,0.56,0.05,8.9286,0.77,-0.20999999999999996,-0.27272727272727265,2011-04-27,0.2008870687480071,0.1751729113388514,0.98422,-0.00891,0.01128,0.00762,0.00077,0.00047,-0.03472,-0.01905,0.00107,-1e-05,1.79532,1.594432931251993,0.08928571428571429,0.19139622644297113,1.22948,1.0380837735570287,1.0053792000000001,0.20583595376667962,0.04302360728544381,0.28509901529735754,0.14184468912030437,0.616816,0.8416734010766884,0.318288,0.6433286808260092,0.41098004623332035,0.8505249434759381,0.0331889847026424,0.7017185546721791,20.0,6.45,0.01,646.0,26.459999084472656,19.96126365661621,3.8736343383789062,-0.9940036620148933,0.2441421097323801,4.474079960691395
2011-06-30,2011-07-21,0.69,0.58,0.11,18.9655,0.61,-0.030000000000000027,-0.04918032786885251,2011-07-20,0.22216479642947307,0.1628266258477418,0.93921,-0.00841,0.02123,0.00651,0.00241,0.00046,-0.17055,-0.02015,0.001,-1e-05,2.82944,2.607275203570527,0.18965517241379312,0.2008870687480071,1.79532,1.594432931251993,1.6410752,0.22116545780959335,0.026727527502142075,0.24859517674890105,0.0945443626701572,1.178752,1.2035390743636036,0.599256,1.008419079232439,0.9575865421904066,1.2181238520385096,0.35066082325109893,1.0375696790319648,20.0,7.5,0.03,753.0,27.040000915527344,21.340116500854492,134.01165008544922,-0.822029681161422,0.2784763219322231,3.757949703865513
2011-09-30,2011-10-20,0.68,0.68,0.0,0.0,0.69,-0.009999999999999898,-0.014492753623188259,2011-10-19,0.2369204952571808,0.21190327781061213,0.98341,-0.0093,0.01229,0.00827,0.00102,0.00062,-0.02316,-0.0126,0.00169,-2e-05,1.36606,1.1291395047428192,0.0,0.22216479642947307,2.82944,2.607275203570527,0.9289208000000001,0.2167427157834822,0.019835692779691112,0.22498243335147117,0.05231249287561843,1.448012,1.0153007321577188,0.7338859999999999,1.0123186666504222,1.2312692842165176,1.0195276392860924,0.5089035666485289,1.0218852594949632,21.0,6.2,0.01,621.0,27.260000228881836,21.209575653076172,20.957565307617188,-0.9662519077172026,0.22780630769843263,3.9839883026651095
2011-12-31,2012-01-19,0.78,0.76,0.02,2.6316,0.68,0.07999999999999996,0.11764705882352934,2012-01-18,0.20699592806337344,0.18253412055866206,1.0,-0.00966,0.0,0.00924,0.0,0.00066,-6e-05,-0.01205,0.00185,-2e-05,0.01976,-0.18723592806337344,0.02631578947368421,0.2369204952571808,1.36606,1.1291395047428192,0.0150176,0.2116729029882011,0.0180060591870365,0.21168866209174036,0.03328640524185991,1.4480119999999999,1.0153007321577188,0.7338859999999999,1.0123186666504222,1.2363390970117991,1.010576540924266,0.5221973379082596,1.010704885437927,22.5,5.75,0.01,576.0,28.15999984741211,23.36554527282715,86.55452728271484,-0.8497317234675089,0.20454545565380539,2.9628183518139504
2012-03-31,2012-04-19,0.6,0.57,0.03,5.2632,0.78,-0.21000000000000008,-0.26923076923076933,2012-04-18,0.20990451809781324,0.2173389708843814,0.99163,-0.00837,0.00657,0.00657,0.00064,0.00064,-0.01329,-0.01319,0.00195,-2e-05,1.22948,1.0195754819021867,0.052631578947368425,0.20699592806337344,0.01976,-0.18723592806337344,0.7008035999999999,0.21537456131916954,0.01432083160288514,0.20874606257475753,0.03184054940814863,1.4480119999999999,1.0153007321577188,0.8548579999999999,0.9895227225935183,1.2326374386808303,1.0115177408789051,0.6461119374252424,0.9852995304521489,24.0,7.2,0.02,722.0,31.1299991607666,25.410091400146484,141.00914001464844,-0.8046964819741711,0.23193061980867083,3.222930899367606
2012-06-30,2012-07-19,0.67,0.62,0.05,8.0645,0.6,0.020000000000000018,0.03333333333333337,2012-07-18,0.23908607537247373,0.24362847556822256,1.0,-0.00887,0.0,0.00768,0.0,0.00066,-0.00011,-0.0125,0.00197,-2e-05,0.01976,-0.21932607537247373,0.08064516129032259,0.20990451809781324,1.22948,1.0195754819021867,0.0122512,0.22301436264406288,0.014839647127493567,0.21442515820537125,0.031662680401342715,1.0929,1.1631960897458347,0.8548579999999999,0.9895227225935183,0.8698856373559373,1.1631885360213527,0.6404328417946288,0.9906275706245777,24.0,6.5,0.01,651.0,30.510000228881836,23.315357208251953,68.46427917480469,-0.8948321364442324,0.2133726630994059,4.269325944578492
2012-09-30,2012-10-18,0.53,0.56,-0.03,-5.3571,0.67,-0.10999999999999999,-0.16417910447761191,2012-10-17,0.1968313687478256,0.20756297005791247,0.99154,-0.00934,0.00721,0.00774,0.00062,0.00067,-0.01235,-0.01359,0.00187,-2e-05,1.19046,0.9936286312521745,-0.05357142857142856,0.23908607537247373,0.01976,-0.21932607537247373,0.6666576000000001,0.21794767710773338,0.01895607687834756,0.21955656745866334,0.02191057479238627,0.765104,0.6835196168947895,0.9719280000000001,0.9481316804091905,0.5471563228922667,0.6870314863603633,0.7523714325413366,0.957107003242669,23.0,6.65,0.01,666.0,29.649999618530273,22.443819046020508,55.61809539794922,-0.9164893462493255,0.22462057624573187,4.4202068247926265
2012-12-31,2013-01-24,0.76,0.75,0.01,1.3333,0.53,0.21999999999999997,0.4150943396226414,2013-01-23,0.19907152101131378,0.7197219914904132,1.0,-0.01088,0.0,0.01142,0.0,0.00059,-8e-05,-0.01803,0.00123,-2e-05,0.01976,-0.17931152101131378,0.013333333333333334,0.1968313687478256,1.19046,0.9936286312521745,0.01482,0.21037788225855997,0.01693490384252918,0.2135602990210211,0.017708317158653595,0.49584399999999995,0.6520508210868227,0.9719280000000001,0.9481316804091905,0.28546611774144004,0.6585384081266132,0.758367700978979,0.9503681651088074,22.5,5.15,0.01,516.0,27.700000762939453,22.531259536743164,3.1259536743164062,-0.9939419502435729,0.18628158331691086,3.2785427901105035
