fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,prev_quarter_EPS,estimatedEPS_change,estimatedEPS_pct_change,as_of,garch_vol,atm_iv,iv_garch_spread,surprise_norm,garch_vol_lag1,atm_iv_lag1,iv_garch_spread_lag1,garch_vol_roll5_mean,garch_vol_roll5_std,garch_vol_roll10_mean,garch_vol_roll10_std,atm_iv_roll5_mean,atm_iv_roll5_std,atm_iv_roll10_mean,atm_iv_roll10_std,iv_garch_spread_roll5_mean,iv_garch_spread_roll5_std,iv_garch_spread_roll10_mean,iv_garch_spread_roll10_std,strike,call_ask,put_ask,straddle_cost,underlying,underlying_t1,abs_move,return,breakeven_pct,realized_vol
2015-03-31,2015-05-19,-0.12,0.03,-0.15,-500.0,,,,2015-05-18,0.6070761670323717,0.64413,0.03705383296762832,-5.0,,,,,,,,,,,,,,,,20.0,2.0,1.55,355.0,20.559999465942383,14.3100004196167,568.9999580383301,0.6028167832065636,0.1726653741348861,5.7527437248453825
2015-06-30,2015-08-04,-0.07,-0.08,0.01,12.5,-0.12,0.039999999999999994,-0.3333333333333333,2015-08-03,0.8943457165432434,1.0929,0.19855428345675663,0.125,0.6070761670323717,0.64413,0.03705383296762832,,,,,,,,,,,,,20.0,2.3,2.35,465.00000000000006,20.360000610351562,13.460000038146973,653.9999961853027,0.4064516046995756,0.22838899118872413,6.569663407483995
2015-09-30,2015-11-03,-0.03,-0.06,0.03,50.0,-0.07,0.010000000000000009,-0.14285714285714296,2015-11-02,0.8485458604095778,1.05388,0.20533413959042213,0.5,0.8943457165432434,1.0929,0.19855428345675663,0.7833225813283976,0.15434217058089122,,,0.9303033333333334,0.2486001259720786,,,0.14698075200493568,0.09525984074663546,,,10.0,1.5,0.8,229.99999999999997,10.739999771118164,8.470000267028809,152.99997329711914,-0.3347827247951341,0.21415270475006182,3.7693150208862756
2015-12-31,2016-02-23,-0.04,-0.01,-0.03,-300.0,-0.03,0.019999999999999997,-0.6666666666666666,2016-02-22,0.7957573738438964,0.99534,0.19958262615610356,-3.0,0.8485458604095778,1.05388,0.20533413959042213,0.7864312794572723,0.12617313407631528,,,0.9465625,0.20556942969468978,,,0.16013122054272766,0.08210581057657688,,,7.5,1.1,0.75,185.0,8.039999961853027,9.229999542236328,172.9999542236328,-0.0648651123046875,0.23009950357930342,2.191157058350813
2016-03-31,2016-05-03,0.01,-0.02,0.03,150.0,-0.04,0.02,-0.5,2016-05-02,0.5772061141862934,1.20997,0.6327638858137066,1.5,0.7957573738438964,0.99534,0.19958262615610356,0.7445862464030766,0.14385679955606395,0.7445862464030766,0.14385679955606395,0.999244,0.2134731716867485,0.999244,0.2134731716867485,0.25465775359692344,0.2230075118780921,0.25465775359692344,0.2230075118780921,7.5,1.6,0.4,200.0,8.670000076293945,8.380000114440918,88.0000114440918,-0.559999942779541,0.23068050546718272,0.540064591324019
2016-06-30,2016-08-02,-0.06,-0.01,-0.05,-500.0,0.01,-0.02,-2.0,2016-08-01,0.4418011216393327,0.85876,0.41695887836066725,-5.0,0.5772061141862934,1.20997,0.6327638858137066,0.7115312373244688,0.19370451520149085,0.6941220589424525,0.17842541388259925,1.04217,0.1291314969323906,0.9758300000000001,0.19936380915301555,0.3306387626755312,0.19303757505959035,0.28170794105754743,0.21018124591213005,12.5,0.7,1.45,215.0,12.15999984741211,14.069999694824219,156.99996948242188,-0.26976758380268895,0.17680921274497902,2.3159793451260207
2016-09-30,2016-11-01,-0.02,-0.02,0.0,0.0,-0.06,0.039999999999999994,-0.6666666666666666,2016-10-31,0.4125844896250553,0.87827,0.4656855103749447,0.0,0.4418011216393327,0.85876,0.41695887836066725,0.6151789919408311,0.19975923322431172,0.6539024061828245,0.19455856070272562,0.999244,0.14298272948157065,0.9618928571428571,0.18569145014551117,0.3840650080591688,0.18410154635029466,0.30799045096003275,0.20408051286620293,12.5,1.3,0.8,210.0,13.109999656677246,12.59000015258789,9.000015258789062,-0.9571427844819569,0.1601830705564068,0.6424796133271872
2016-12-31,2017-02-28,-0.19,0.02,-0.21,-1050.0,-0.02,0.04,-2.0,2017-02-27,0.4605934327700817,0.78071,0.3201165672299183,-10.5,0.4125844896250553,0.87827,0.4656855103749447,0.5375885064129319,0.157281743708868,0.6297387845062316,0.19265643571540558,0.9446100000000002,0.1670508085882856,0.939245,0.18346339152150062,0.4070214935870681,0.1620826919169774,0.30950621549376844,0.1889904747218802,12.5,1.05,0.75,180.0,12.850000381469727,10.369999885559082,213.0000114440918,0.1833333969116211,0.14007781685327264,3.403920396772627
2017-03-31,2017-05-02,0.0386,0.01,0.0286,286.0,-0.19,0.2,-1.0526315789473684,2017-05-01,0.41752856218540724,0.89778,0.4802514378145928,2.86,0.4605934327700817,0.78071,0.3201165672299183,0.46194274408123404,0.06727184946175302,0.6061598709150289,0.19359913723985528,0.925098,0.16533285810751608,0.9346377777777778,0.17216998139758408,0.4631552559187659,0.11364411634482299,0.3284779068627489,0.18572035498094996,10.0,1.55,0.4,195.00000000000003,11.0600004196167,13.3100004196167,331.0000419616699,0.6974361126239481,0.17631102405216548,2.939651366037902
2017-06-30,2017-08-03,0.1,-0.03,0.13,433.3333,0.0386,-0.0686,-1.7772020725388598,2017-08-02,0.43610738831307805,0.70267,0.26656261168692197,4.333333333333334,0.41752856218540724,0.89778,0.4802514378145928,0.433722998906591,0.01937819619508876,0.5891546226548338,0.19028372665729945,0.8236380000000001,0.08091865773726159,0.911441,0.17812859427640723,0.38991500109340904,0.09316765334062567,0.3222863773451662,0.17619009791606066,15.0,0.5,1.45,195.0,14.050000190734863,15.59000015258789,59.00001525878906,-0.6974358191856971,0.1387900337030535,1.651064440114805
